player_code,last_season,full_name,team,shirt_number,position,height,birthdate,nationality
001885,2011,"SEWERYN, LUKASZ",Asseco Prokom Gdynia,9,Forward,1.96,1982-10-26,Poland
JAU,2005,"SHABALKIN, NIKITA",CSKA Moscow,16,Forward,2.04,1986-10-09,Russian Federation
000668,2014,"SHAKUR, MUSTAFA",Neptunas Klaipeda,22,Guard,1.91,1984-08-18,United States of America
005165,2013,"SHANG, PING",Panathinaikos Athens,17,Forward,2.05,1984-12-23,China
010653,2020,"SHARAPOV, VLADISLAV",Khimki Moscow Region,13,Forward,2.03,1999-11-17,Russian Federation
AOU,2010,"SHARP, DERRICK",Maccabi Electra Tel Aviv,6,Guard,1.83,1971-10-05,Israel
010771,2020,"SHASHKOV, ALEXANDER",CSKA Moscow,51,Forward,2.1,2000-02-26,Russian Federation
KNU,2007,"SHASON, SHARON",Maccabi Elite Tel Aviv,0,Forward,2.06,1979-03-16,Israel
CUG,2007,"SHAW, CASEY",AJ Milano,11,Center,2.08,1975-07-20,United States of America
011202,2021,"SHAYOK, MARIAL",Fenerbahce Beko Istanbul,3,Guard,1.96,1995-07-26,Canada
LAX,2005,"SHEBOUROV, MAXIM",,,,,1981-07-28,Russian Federation
BTP,2002,"SHEFFER, DORON",Maccabi Elite,11,Guard,1.96,1972-03-12,Israel
AOX,2004,"SHELEF, GUR",Maccabi Elite Tel Aviv,9,Forward,2.01,1974-01-10,Israel
KLN,2015,"SHELEKETO, MAKSIM",Khimki Moscow Region,45,Forward,2.05,1987-01-04,Russian Federation
001133,2021,"SHENGELIA, TORNIKE",CSKA Moscow,23,Forward,2.06,1991-10-05,Georgia
001386,2017,"SHERMADINI, GIORGI",Unicaja Malaga,17,Center,2.17,1989-04-02,Georgia
006713,2019,"SHEVCHUK, KONSTANTIN",Zenit St Petersburg,15,Guard,1.9,2000-01-11,Russian Federation
AXI,2002,"SHEYKO, ANDREY",,,,1.96,1973-01-07,Russian Federation
AHO,2001,"SHIELDS, JAMES",Opel Skyliners,,Forward,2.08,1970-05-14,Germany
007831,2021,"SHIELDS, SHAVON",AX Armani Exchange Milan,31,Forward,2.01,1994-06-05,Denmark
BXS,2003,"SHIFFER, YEONATHAN",,,,,1987-02-26,Israel
002973,2012,"SHIPP, JOSHUA",Anadolu Efes Istanbul,11,Forward,1.96,1986-02-14,United States of America
BUA,2008,"SHIRLEY, PAUL",Unicaja,19,Center,2.08,1977-12-23,United States of America
LKZ,2015,"SHUKHOVTCOV, GRIGORY",Lokomotiv Kuban Krasnodar,21,Center,2.11,1983-06-10,Russian Federation
003437,2011,"SHULER, JAMAL",SLUC Nancy,8,Guard,1.91,1986-01-11,United States of America
KNH,2011,"SHUMPERT, PRESTON",Galatasaray Medical Park,9,Forward,1.98,1979-08-20,United States of America
AXD,2001,"SHUSHAKOV, VYACHESLAV",Ural Great,4,Guard,1.8,1973-01-20,Russian Federation
KVZ,2021,"SHVED, ALEXEY",CSKA Moscow,91,Guard,1.98,1988-12-16,Russian Federation
010349,2020,"SIGALAS, ANTONIOS",Panathinaikos OPAP Athens,40,Guard,1.88,2003-06-08,Greece
AIL,2006,"SIGALAS, GIORGOS",Aris TT Bank,5,Forward,2.01,1971-07-31,Greece
010785,2020,"SIGISMONTI, LUCAS",TD Systems Baskonia Vitoria-Gasteiz,21,Forward,2.01,2003-08-28,Argentina
006589,2021,"SIKMA, LUKE",ALBA Berlin,43,Forward,2.03,1989-07-30,United States of America
001211,2011,"SIKORA, SLAWOMIR",Asseco Prokom Gdynia,6,Guard,1.93,1986-04-02,Poland
002007,2010,"SIKSNIUS, ARVYDAS",Lietuvos Rytas Vilnius,8,Guard,1.96,1987-10-10,Lithuania
BDM,2006,"SILINSKIS, DARIUS",Zalgiris,14,Center,2.16,1984-05-18,Lithuania
009296,2020,"SILLAH, MOHAMED",FC Bayern Munich,75,Center,2.04,2002-03-20,Sierra Leone
BWV,2003,"SILOBAD, MLADJAN",Partizan,6,Center,2.08,1971-07-06,Bosnia and Herzegovina
AAM,2000,"SILVA, JAIME",Ovarense Aerosoles,4,Guard,1.85,1980-06-04,Portugal
005618,2020,"SIMANIC, BORISA",Crvena Zvezda mts Belgrade,22,Forward,2.09,1998-03-20,Serbia
002502,2009,"SIMCHONY, TAMIR",Maccabi Electra,0,Guard,1.92,1990-02-17,Israel
001129,2010,"SIMEON, JOSE",Power Electronics Valencia,10,Guard,1.84,1991-03-19,Spain
AHH,2000,"SIMIC, ALEKSANDAR",Opel Skyliners,15,Forward,1.96,1753-01-01,Germany
009136,2020,"SIMIC, TEODOR",FC Barcelona,59,Center,2.14,2004-02-04,North Macedonia
005163,2014,"SIMMONS, CEDRIC",Olympiacos Piraeus,12,Center,2.06,1986-11-03,United States of America
LOL,2008,"SIMMONS, TRE",Maccabi Electra,11,Forward,1.95,1982-07-24,United States of America
CPR,2021,"SIMON, KRUNOSLAV",Anadolu Efes Istanbul,44,Guard,1.97,1985-06-24,Croatia
LMA,2008,"SIMON, NICOLAI",Alba Berlin,15,Guard,1.9,1987-01-03,Germany
LRU,2021,"SIMONOVIC, MARKO",Crvena Zvezda mts Belgrade,19,Forward,2.03,1986-05-30,Serbia
BVB,2005,"SIMPKINS, DICKEY",GHP Bamberg,21,Center,2.06,1972-04-06,United States of America
007765,2016,"SIMPSON, DIAMON",Maccabi FOX Tel Aviv,5,Forward,2.03,1987-09-08,United States of America
LBO,2005,"SIMS, ALVIN",Pau-Orthez,17,Guard,1.93,1974-10-18,United States of America
002455,2009,"SIMS, COURTNEY",CSKA Moscow,44,Center,2.11,1983-10-21,United States of America
BTQ,2002,"SIMS, LEWIS",Tau Ceramica,14,Forward,2.03,1973-04-09,United States of America
CRM,2011,"SINANOVIC, NEDZAD",Unicaja Malaga,22,Center,2.22,1983-01-29,Bosnia and Herzegovina
AAN,2000,"SING, JORGE",Ovarense Aerosoles,10,Guard,1.92,1978-03-04,Portugal
003822,2011,"SINGLER, KYLE",Real Madrid,22,Forward,2.03,1988-05-04,United States of America
002079,2009,"SINGLETARY, SEAN",Caja Laboral,7,Guard,1.83,1985-09-06,United States of America
006614,2021,"SINGLETON, CHRIS",Anadolu Efes Istanbul,2,Forward,2.06,1989-11-21,United States of America
TGD,2007,"SINGLETON, JAMES",Tau Ceramica Vitoria-Gasteiz,15,Forward,2.03,1981-07-26,United States of America
001271,2014,"SINICA, JUSTAS",Neptunas Klaipeda,10,Forward,2.03,1985-05-31,Lithuania
001930,2009,"SINOVEC, STEFAN",Partizan Belgrade,5,Guard,1.95,1988-06-20,Serbia
APJ,2001,"SIOUTIS, IOANNIS",Panathinaikos Athens,6,Guard,,1973-07-27,Greece
005275,2020,"SIPAHI, KENAN",Fenerbahce Beko Istanbul,25,Guard,1.97,1995-05-26,Turkey
003522,2012,"SIRIN, OSMAN",Anadolu Efes Istanbul,34,Forward,2.07,1990-09-18,Turkey
000924,2008,"SIRNIK, MATIC",Union Olimpija,23,Forward,2.01,1991-01-28,Slovenia
AXL,2001,"SIRVYDIS, VIRGINIUS",Ural Great,12,Forward,1.96,1973-08-23,Lithuania
JMM,2011,"SISKAUSKAS, RAMUNAS",CSKA Moscow,8,Forward,1.98,1978-09-10,Lithuania
004571,2021,"SISKO, ZAN MARK",FC Bayern Munich,31,Guard,1.89,1997-06-29,Slovenia
007125,2020,"SIVA, PEYTON",ALBA Berlin,3,Guard,1.82,1990-10-24,United States of America
DHP,2003,"SJEKLOCA, LUKA",,,,,1984-01-09,Serbia
BBF,2001,"SKALABRIN, IVICA",Zadar,7,Guard,1.83,1980-02-29,Croatia
AFO,2006,"SKELIN, MATE",Le Mans,7,Center,2.11,1974-12-13,Croatia
AYE,2003,"SKIBNIEWSKI, ROBERT",Idea Slask,6,Guard,,1983-07-19,Poland
010096,2021,"SKLADANOWSKI, CHRISTIAN",FC Bayern Munich,22,Forward,2.01,2004-04-19,Germany
BZR,2004,"SKLAVOS, EVANGELOS",Olympiacos,12,Forward,2.02,1977-12-01,Greece
LJT,2013,"SKORDILIS, GAIOS",Panathinaikos Athens,19,Center,2.07,1987-12-06,Greece
LVJ,2007,"SKVERER, EZEQUIEL",Maccabi Elite Tel Aviv,0,Guard,1.8,1989-02-24,Israel
ACY,2007,"SLANINA, DONATAS",Prokom Trefl Sopot,13,Guard,1.91,1977-04-23,Lithuania
003637,2014,"SLAUGHTER, AJ",Panathinaikos Athens,6,Guard,1.91,1987-08-03,United States of America
000659,2016,"SLAUGHTER, MARCUS",Darussafaka Dogus Istanbul,44,Forward,2.04,1985-03-18,United States of America
KQI,2008,"SLAY, TAMAR",Air Avellino,15,Forward,2.03,1980-04-02,United States of America
BUX,2007,"SLEZAS, ANDRIUS",Lietuvos Rytas,5,Forward,,1975-02-04,Lithuania
JJM,2006,"SLJIVANCANIN, MLADJEN",RheinEnergie,32,Forward,2.0,1985-07-01,Serbia
BWY,2009,"SLOKAR, UROS",Union Olimpija,15,Center,2.1,1983-05-14,Slovenia
001926,2021,"SLOUKAS, KOSTAS",Olympiacos Piraeus,11,Guard,1.9,1990-01-15,Greece
LVC,2010,"SMAJLAGIC, SVEN",Cibona Zagreb,12,Guard,1.88,1990-06-05,Croatia
BHD,2003,"SMIGIC, DANILO",Union Olimpija,14,Guard,1.94,1984-06-23,Slovenia
AST,2005,"SMILJANIC, ALEKSANDAR",Partizan,17,Guard,1.95,1976-03-08,Serbia
BAK,2001,"SMITH, ANTWAIN",KRKA Novo Mesto,,Forward,,1975-05-01,United States of America
CDH,2006,"SMITH, BRYANT",Benetton Basket,5,Guard,1.96,1977-10-21,United States of America
CTN,2010,"SMITH, CHARLES",Lottomatica Roma,7,Forward,1.93,1975-08-22,United States of America
001274,2016,"SMITH, DEVIN",Maccabi FOX Tel Aviv,6,Forward,1.98,1983-04-12,United States of America
001355,2008,"SMITH, JA JUAN",Union Olimpija,25,Guard,1.92,1985-12-24,United States of America
011192,2021,"SMITH, JALEEN",ALBA Berlin,3,Guard,1.9,1994-11-24,United States of America
005002,2015,"SMITH, JAMAR",Unicaja Malaga,15,Guard,1.91,1987-04-07,United States of America
004118,2012,"SMITH, JERRY",Mapooro Cantu,8,Guard,1.88,1987-09-26,United States of America
BTM,2002,"SMITH, MICHAEL",,,,2.01,1976-04-15,United States of America
004918,2014,"SMITH, NOLAN",Galatasaray Liv Hospital Istanbul,22,Guard,1.88,1988-07-25,United States of America
007356,2016,"SMITH, RUSS",Galatasaray Odeabank Istanbul,0,Guard,1.83,1991-04-19,United States of America
002901,2011,"SMITH, STEVEN",Panathinaikos Athens,17,Forward,2.03,1983-04-12,United States of America
BDY,2002,"SMITH, STEVIN",Asvel Basket,6,Guard,1.86,1972-01-23,United States of America
007109,2021,"SMITS, ROLANDS",FC Barcelona,10,Forward,2.07,1995-06-25,Latvia
ALC,2010,"SMODIS, MATJAZ",CSKA Moscow,8,Forward,2.05,1979-12-13,Slovenia
KLP,2009,"SMYGIN, IGOR",Khimki,11,Guard,1.98,1987-04-01,Russian Federation
AEQ,2000,"SNEED, CHRISTOPHER",Haribo London Towers,,Forward,2.01,1974-04-22,England
004176,2012,"SNIEG, TOMASZ",Asseco Prokom Gdynia,7,Guard,1.9,1989-06-03,Poland
LTF,2017,"SOKOLOV, DMITRY",Khimki Moscow Region,10,Center,2.14,1985-01-21,Russian Federation
BDR,2004,"SOLAK, FATIH",Ulker,6,Center,2.13,1980-07-25,Turkey
BAX,2002,"SOLDATOV, DANIEL",CSKA Moscow,,Center,2.15,1983-02-06,Russian Federation
TFB,2007,"SOLIMAN, WILLIAMS",Chorale Roanne,11,Forward,2.03,1980-02-15,France
005882,2015,"SOLKOL, MERTCAN",Pinar Karsiyaka Izmir,15,Forward,2.02,1996-02-05,Turkey
COS,2009,"SOLOMON, WILLIE",Fenerbahce Ulker,5,Guard,1.87,1978-07-20,United States of America
BUD,2002,"SOLTAU, THOMAS",Benetton Treviso,20,Center,2.09,1982-03-11,Denmark
004479,2017,"SOLUADE, MO",Unicaja Malaga,6,Guard,1.96,1995-07-12,United Kingdom
KKD,2006,"SOMVI, JULIAN",Climamio Bologna,0,Forward,2.05,1987-05-01,Italy
BCP,2014,"SONGAILA, DARIUS",Zalgiris Kaunas,9,Forward,2.06,1978-02-14,Lithuania
AWZ,2005,"SONKO, MOUSTAPHA",Real Madrid,5,Guard,1.92,1972-06-14,France
002970,2013,"SONMEZ, DOGUKAN",Galatasaray Liv Hospital Istanbul,6,Forward,2.06,1992-01-01,Turkey
JKI,2006,"SORAGNA, MATTEO",Benetton Basket,7,Forward,,1975-12-26,Italy
011219,2021,"SORKIN, ROMAN",Maccabi Playtika Tel Aviv,9,Forward,2.08,1996-08-11,Israel
ASJ,2002,"SORRENTINO, GENNARO",,,,1.9,1985-09-19,Italy
005242,2014,"SOSA, EDGAR",Dinamo Banco di Sardegna Sassari,4,Guard,1.9,1988-01-15,United States of America
AIC,2006,"SOTTANA, LUCA",Benetton Basket,16,Guard,1.86,1982-07-16,Italy
CCV,2004,"SOUCHU, KARIM",Asvel Basket,43,Forward,2.0,1979-03-30,France
AMK,2000,"SOULIS, VASSILIOS",Olympiakos,10,Forward,2.04,1976-09-24,Greece
JAE,2003,"SOURLIS, GEORGIOS",AEK Athens,,Guard,1.88,1985-11-01,Greece
005955,2014,"SOUTHERLAND, JAMES",Limoges CSP,31,Forward,2.02,1990-04-28,United States of America
000747,2010,"SOW, PAPE",Caja Laboral Vitoria,30,Center,2.08,1981-11-22,Senegal
010615,2021,"SOW, PAPE",Bitci Baskonia Vitoria-Gasteiz,29,Forward,2.03,2003-09-14,Senegal
008173,2020,"SPAGNOLO, MATTEO",Real Madrid,0,Guard,1.94,2003-01-10,Italy
002626,2010,"SPAN, JAN",Union Olimpija Ljubljana,4,Guard,1.9,1992-11-20,Slovenia
JUO,2020,"SPANOULIS, VASSILIS",Olympiacos Piraeus,7,Guard,1.93,1982-08-07,Greece
TGM,2008,"SPENCER, DEWARICK",Le Mans,6,Guard,1.93,1982-05-04,United States of America
JQV,2006,"SPINELLI, VALERIO",Eldo Napoli,9,Guard,1.85,1979-07-10,Italy
004381,2021,"SPISSU, MARCO",UNICS Kazan,0,Guard,1.82,1995-02-05,Italy
CBY,2009,"SPLITTER, TIAGO",Caja Laboral,21,Center,2.12,1985-01-01,Spain
AGO,2000,"SPORAR, MILOS",Union Olimpija Ljubljana,,Guard,1.88,1976-01-16,Slovenia
AGD,2001,"SPRALJA, SIME",Zadar,10,Forward,2.06,1983-12-06,Croatia
KPW,2013,"SROKA, MARCIN",Stelmet Zielona Gora,31,Forward,2.0,1981-03-20,Poland
JXL,2006,"STACK, RYAN",Olympiacos,14,Forward,2.12,1975-07-24,North Macedonia
JSG,2005,"STAFFORD, RICHARD",GHP Bamberg,7,Guard,1.94,1972-04-19,Germany
002506,2017,"STAIGER, LUCCA",Brose Bamberg,8,Guard,1.96,1988-06-14,Germany
AYM,2001,"STAMOPOULOS, IOANNIS",Peristeri,16,Forward,1.99,1984-01-01,Greece
AUA,2001,"STANESCU, VIRGIL",Opel Skyliners,4,Forward,2.06,1977-01-09,Romania
AUL,2007,"STANOJEVIC, JOVO",Prokom Trefl Sopot,12,Center,2.07,1977-09-27,Serbia
AMS,2005,"STAROSTA, ONDREJ",Strasbourg,33,Center,2.18,1979-05-28,Czech Republic
008000,2018,"STAROVLAH, MILIC",Buducnost VOLI Podgorica,9,Forward,1.97,1998-01-28,Montenegro
AKE,2001,"STAS, JACQUES",Spirou Basket,13,Guard,1.92,1969-02-06,Belgium
009836,2019,"STAUSKAS, NIK",KIROLBET Baskonia Vitoria-Gasteiz,22,Guard,1.97,1993-10-07,Canada
AKQ,2000,"STAZIC, STJEPAN",Saint Petersburg Lions,9,Guard,1.99,1978-09-28,Australia
AQB,2001,"STEFANOV, RISTE",Union Olimpija,12,Forward,1.99,1983-08-30,North Macedonia
ABL,2007,"STEFANOV, VRBICA",Montepaschi Siena,0,,1.87,1973-12-19,North Macedonia
KNM,2005,"STEFANOVIC, NENAD",Partizan,9,Guard,1.93,1985-08-31,Serbia
LUK,2014,"STEFANSSON, JON",Unicaja Malaga,20,Guard,1.95,1982-09-21,Iceland
BGN,2002,"STEFFEL, DAVID",,,,,1753-01-01,
000070,2007,"STELMACH, PIOTR",Prokom Trefl Sopot,18,Forward,2.05,1984-02-23,Poland
AWI,2007,"STELMAHERS, ROBERTS",Lietuvos Rytas,7,Guard,1.9,1974-11-19,Latvia
XAA,2004,"STEPP, BLAKE ROY",Partizan,24,Guard,1.93,1982-02-04,United States of America
CCG,2003,"STERGIOU, VLANTIMIR",Alba Berlin,12,Forward,1.98,1977-01-27,Greece
ABW,2000,"STEVIC, DUSAN",Lugano Snakes,11,Center,2.08,1972-01-22,Serbia
000564,2011,"STEVIC, OLIVER",Gescrap Bilbao Basket,16,Center,2.05,1984-01-18,Serbia
AEE,2000,"STEWART, KEBU",Hapoel Jerusalem,4,Forward,2.04,1973-12-19,United States of America
BCZ,2004,"STIMAC, ANDREJ",Cibona VIP,11,Forward,2.04,1979-03-31,Croatia
LBJ,2019,"STIMAC, VLADIMIR",Crvena Zvezda mts Belgrade,91,Center,2.1,1987-08-25,Serbia
DGX,2015,"STIPCEVIC, ROK",Dinamo Banco di Sardegna Sassari,24,Guard,1.86,1986-05-20,Croatia
003934,2014,"STOJANOVSKI, VOJDAN",ALBA Berlin,19,Guard,1.94,1987-12-09,North Macedonia
ARI,2004,"STOJIC, MARIO",Real Madrid,7,Forward,1.99,1980-05-06,Germany
000688,2007,"STOJKOV, STEVAN",Virtus VidiVici,22,Guard,1.82,1989-01-12,Italy
006668,2016,"STOLL, PAUL",Unics Kazan,6,Guard,1.8,1985-12-14,United States of America
AJH,2004,"STOMBERGAS, SAULIUS",Ulker,7,Forward,2.03,1973-12-14,Lithuania
JOC,2011,"STONEROOK, SHAUN",Montepaschi Siena,20,Forward,2.01,1977-08-19,United States of America
007069,2019,"STOUDEMIRE, AMAR'E",Maccabi FOX Tel Aviv,32,Center,2.08,1982-11-16,United States of America
BLB,2006,"STRASSER, JOHANNES",RheinEnergie,9,Guard,1.9,1982-06-13,Germany
001906,2009,"STRAUCH, DANIEL",EWE Baskets,6,Forward,2.06,1981-01-08,Germany
001433,2018,"STRAWBERRY, DJ",Herbalife Gran Canaria,24,Forward,1.96,1985-06-15,United States of America
008099,2021,"STRAZEL, MATTHEW",LDLC ASVEL Villeurbanne,32,Guard,1.82,2002-08-05,France
LWP,2014,"STREBKOV, IVAN",CSKA Moscow,19,Guard,1.92,1991-07-27,Russian Federation
000046,2021,"STRELNIEKS, JANIS",Zalgiris Kaunas,32,Guard,1.91,1989-09-01,Latvia
LBY,2005,"STRINGER, DAMON ANTHONY",Union Olimpija,6,Guard,1.83,1977-09-15,United States of America
AIX,2001,"STRUELENS, ERIC",Real Madrid,5,Center,2.08,1969-11-03,Belgium
002092,2011,"STUCKEY, MAURICE",Brose Baskets,13,Guard,1.87,1990-05-30,Germany
002358,2016,"SUAREZ, ALEX",Real Madrid,36,Forward,2.06,1993-09-27,Spain
JJS,2017,"SUAREZ, CARLOS",Unicaja Malaga,43,Forward,2.03,1986-05-23,Spain
BGX,2002,"SUAREZ, ENRIQUE",,,,,1753-01-01,
CUS,2003,"SUBOTIC, SRDAN",KRKA Novo Mesto,41,Guard,1.91,1980-02-27,Croatia
AQC,2001,"SUBOTIC, VUJADIN",Union Olimpija,10,Forward,1.98,1981-12-18,Serbia
BGT,2002,"SUERO, MATTIA",,,,,1753-01-01,
003992,2015,"SULEJMANOVIC, EMIR",FC Barcelona Lassa,22,Forward,2.06,1995-07-13,Finland
CIJ,2006,"SULLIVAN, ANDREW",DKV Joventut,15,Forward,2.02,1980-02-12,United Kingdom
003529,2013,"SUMMERS, DAJUAN",Budivelnik Kiev,35,Forward,2.03,1988-01-24,United States of America
DIJ,2010,"SUNDOV, BRUNO",Power Electronics Valencia,33,Center,2.21,1980-02-10,Croatia
JJZ,2012,"SUPUT, PREDRAG",Cedevita Zagreb,8,Forward,2.0,1977-06-01,Serbia
002106,2012,"SUTON, GORAN",Cedevita Zagreb,14,Center,2.09,1985-08-11,Croatia
001432,2009,"SUTULOVIC, MILORAD",Union Olimpija,5,Guard,1.98,1990-12-08,Montenegro
AZT,2001,"SVORONOS, MIKHAIL",,,,,1753-01-01,
CLW,2008,"SWIETONSKI, TOMASZ",Asseco Prokom,15,Guard,1.86,1984-04-04,Poland
AQF,2001,"SY, AMARA",Asvel Basket,5,Forward,2.03,1981-08-28,France
CDG,2003,"SY, MAMADOU",Asvel Basket,,Guard,1.83,1985-07-28,France
010093,2020,"SYKES, KEIFER",Panathinaikos OPAP Athens,28,Guard,1.83,1993-12-30,United States of America
001965,2011,"SYLLA, ABDEL KADER",SLUC Nancy,9,Forward,2.05,1990-04-10,Seychelles
KIO,2005,"SZALAY, GABRIEL",,,,,1986-03-12,Slovakia
001209,2012,"SZCZOTKA, PIOTR",Asseco Prokom Gdynia,20,Forward,,1981-06-17,Poland
CCH,2015,"SZEWCZYK, SZYMON",Stelmet Zielona Gora,10,Center,2.09,1982-12-21,Poland
BFZ,2002,"SZLACHTOWICZ, MACIEJ",,,,1.93,1985-04-06,Poland
BBV,2001,"SZYBILSKI, PIOTR",Idea Slask,12,Center,2.08,1973-05-02,Poland
AUU,2004,"TABAK, ZAN",Unicaja,11,Center,2.13,1970-06-15,Croatia
JPJ,2014,"TABU, JONATHAN",ALBA Berlin,9,Guard,1.9,1985-10-07,Belgium
000118,2015,"TADDA, KARSTEN",Brose Baskets Bamberg,9,Guard,1.91,1988-11-02,Germany
CCC,2003,"TAGLIABUE, MARCO",Montepaschi Siena,,Forward,2.04,1986-04-07,Italy
JNR,2006,"TALTS, JANAR",RheinEnergie,12,Forward,2.04,1983-04-07,Estonia
AEF,2005,"TAMIR, AMIT",AEK Athens,4,Center,2.1,1979-12-02,Israel
AEG,2000,"TAPIRO, MEIR",Hapoel Jerusalem,12,Guard,1.92,1975-03-28,Israel
BAH,2003,"TAPOUTOS, CHRISTOS",AEK Athens,7,Forward,2.01,1982-09-21,Greece
LIU,2007,"TAPUSKOVIC, STEVAN",Partizan Igokea,13,Forward,2.0,1989-01-09,Serbia
008004,2021,"TARCZEWSKI, KALEB",AX Armani Exchange Milan,15,Center,2.13,1993-02-26,United States of America
AUV,2003,"TARLAC, DRAGAN",CSKA Moscow,21,Center,2.1,1973-05-09,Serbia
005860,2014,"TAROLIS, DONATAS",Zalgiris Kaunas,27,Forward,2.05,1994-03-30,Lithuania
KSP,2008,"TATAROUNIS, ARIS",Panathinaikos Athens,16,Guard,1.92,1989-05-04,Greece
CNS,2004,"TAUBERT, PATRICK",Opel Skyliners,,Guard,1.99,1987-01-27,Germany
005791,2021,"TAVARES, WALTER",Real Madrid,22,Center,2.2,1992-03-22,Cabo Verde
001988,2017,"TAYLOR, BRYCE",Brose Bamberg,44,Guard,1.95,1986-09-27,United States of America
AHP,2000,"TAYLOR, DERRICK",Opel Skyliners,4,Guard,1.81,1963-11-20,Germany
AER,2000,"TAYLOR, ERIC",Haribo London Towers,4,Guard,1.83,1969-12-06,United Kingdom
006546,2021,"TAYLOR, JEFFERY",Real Madrid,44,Forward,2.01,1989-05-23,Sweden
005247,2019,"TAYLOR, JORDAN",LDLC ASVEL Villeurbanne,2,Guard,1.85,1989-09-30,United States of America
011217,2021,"TAYLOR, KAMERON",Maccabi Playtika Tel Aviv,7,Guard,1.98,1994-10-05,United States of America
DHG,2003,"TAYLOR, MARCUS",Asvel Basket,16,Guard,1.95,1981-11-25,United States of America
001794,2008,"TAYLOR, MAURICE",AJ Milano,23,Forward,2.06,1976-10-30,United States of America
TGG,2007,"TAYLOR, RONELL",Union Olimpija,30,Forward,1.94,1982-07-26,United States of America
005850,2014,"TAYLOR, TONY",PGE Turow Zgorzelec,21,Guard,1.85,1990-08-09,United States of America
001157,2014,"TCHICAMBOUD, STEED",Limoges CSP,1,Forward,1.93,1981-06-18,France
BWP,2003,"TEIN, TANEL",Idea Slask,7,Forward,1.94,1978-01-10,Estonia
004008,2015,"TEJIC, MARKO",Crvena Zvezda Telekom Belgrade,15,Forward,2.08,1995-08-04,Serbia
004171,2012,"TEKIN, RAMAZAN",Anadolu Efes Istanbul,,Center,2.12,1993-07-27,Turkey
JZJ,2011,"TELETOVIC, MIRZA",Caja Laboral,33,Forward,2.06,1985-09-17,Bosnia and Herzegovina
009128,2020,"TENDERO, PAU",FC Barcelona,52,Forward,1.93,2002-01-29,Spain
JDR,2016,"TEODOSIC, MILOS",CSKA Moscow,4,Guard,1.95,1987-03-19,Serbia
LGH,2013,"TEPIC, MILENKO",Lietuvos Rytas Vilnius,4,Guard,2.02,1987-02-27,Serbia
AHQ,2000,"TERDENGE, GERRIT",Opel Skyliners,7,Forward,2.05,1975-01-30,Germany
010652,2020,"TERRY, EMANUEL",Crvena Zvezda mts Belgrade,33,Center,2.06,1996-08-21,United States of America
TEO,2010,"TERRY, REYSHAWN",Brose Baskets Bamberg,7,Forward,2.03,1984-04-07,United States of America
003759,2014,"TESSITORI,  AMEDEO",Dinamo Banco di Sardegna Sassari,32,Forward,2.08,1994-10-07,Italy
BAR,2001,"TETZNER, CHRISTOPH",Alba Berlin,,Forward,2.01,1981-04-26,Germany
003435,2011,"THALIEN, KEVIN",SLUC Nancy,10,Guard,1.9,1992-02-20,France
004132,2016,"THEIS, DANIEL",Brose Bamberg,10,Center,2.04,1992-04-04,Germany
007946,2017,"THEODORE, JORDAN",AX Armani Exchange Olimpia Milan,25,Guard,1.83,1989-12-11,North Macedonia
AZS,2001,"THEOS, SERAFIM",,,,,1753-01-01,
003958,2021,"THIEMANN, JOHANNES",ALBA Berlin,32,Center,2.05,1994-02-09,Germany
AKF,2000,"THIRY, BERNARD",Region Wallone Spirou Charleroi,10,Guard,1.95,1972-05-04,Belgium
CQS,2004,"THOMAS, DEON",Maccabi Elite Tel Aviv,25,Forward,2.04,1971-02-24,Israel
005094,2021,"THOMAS, DESHAUN",FC Bayern Munich,1,Forward,2.01,1991-08-29,United States of America
LAV,2005,"THOMAS, JAMEL",Montepaschi Siena,9,Forward,1.98,1976-07-19,United States of America
LGX,2006,"THOMAS, JAMES",Climamio Bologna,15,Center,2.03,1980-11-22,United States of America
001234,2008,"THOMAS, JOBEY",AJ Milano,11,Guard,1.94,1980-03-24,United States of America
004251,2020,"THOMAS, MALCOLM",FC Bayern Munich,9,Center,2.06,1988-11-08,United States of America
004231,2012,"THOMAS, TOREY",Partizan mt:s Belgrade,5,Guard,1.8,1985-02-26,United States of America
005856,2021,"THOMAS, WILL",AS Monaco,10,Forward,2.03,1986-07-01,United States of America
005836,2021,"THOMPKINS, TREY",Real Madrid,33,Forward,2.08,1990-05-29,United States of America
003453,2018,"THOMPSON, DEON",Zalgiris Kaunas,2,Forward,2.04,1988-09-16,United States of America
008014,2017,"THOMPSON, HOLLIS",Olympiacos Piraeus,34,Forward,2.03,1991-04-03,United States of America
007998,2017,"THOMPSON, JASON",Fenerbahce Dogus Istanbul,1,Center,2.11,1986-07-21,United States of America
004957,2015,"THOMPSON, RYAN",Crvena Zvezda Telekom Belgrade,5,Guard,1.98,1988-06-09,United States of America
CCA,2011,"THORNTON, BOOTSY",Montepaschi Siena,11,Guard,1.95,1977-07-30,United States of America
ARD,2003,"THORWARTH, TOMMY",Alba Berlin,,Guard,,1979-12-01,Germany
002744,2018,"TILLIE, KIM",Herbalife Gran Canaria,41,Center,2.1,1988-07-15,France
010144,2021,"TILLY,  CHRISTOPH",ALBA Berlin,13,Forward,2.1,2003-01-28,Germany
AJI,2004,"TIMINSKAS, MINDAUGAS",Zalgiris,10,Forward,2.0,1974-03-28,Lithuania
